RUT_EMPRESA,NOMBRE_EMPRESA,REGIÓN_FAENA,PROVINCIA_FAENA,COMUNA_FAENA,NOMBRE_FAENA,CATEGORÍA_FAENA,REGIÓN_INSTALACIÓN,PROVINCIA_INSTALACIÓN,COMUNA_INSTALACIÓN,NOMBRE_INSTALACIÓN,TIPO_INSTALACIÓN,RECURSO_MINERO,RECURSO_PRINCIPAL,TIPO_RECURSO,NRO_INSTALACIÓN,UTM_NORTE,UTM_ESTE,COTA,HUSO,DATUM,ESTADO,CONCATENAR
96.717.570-6,IMERYS MINERALES ARICA LIMITADA,15,ARICA,ARICA,PLANTA DIATOMEAS,Categoría C,15,ARICA,ARICA,MANTENCIÓN,TALLERES Y MAESTRANZA,DIATOMITA,DIATOMITA,ROCAS Y MINERALES INDUSTRIALES,120100082 - K,"7,963,940","361,732",20,19,PSAD-56,ACTIVA,PLANTA DIATOMEASIMERYS MINERALES ARICA LIMITADAARICA
96.717.570-6,IMERYS MINERALES ARICA LIMITADA,15,ARICA,ARICA,MINA CAROL,Categoría D,15,ARICA,ARICA,MINA CAROL,MINA RAJO ABIERTO,DIATOMITA,DIATOMITA,ROCAS Y MINERALES INDUSTRIALES,120100009 - 9,"7,960,500","366,500",170,19,PSAD-56,ACTIVA,MINA CAROLIMERYS MINERALES ARICA LIMITADAARICA
96.717.570-6,IMERYS MINERALES ARICA LIMITADA,15,ARICA,ARICA,PLANTA DIATOMEAS,Categoría C,15,ARICA,ARICA,PRODUCCION,DEPÓSITO - FILTRADOS,DIATOMITA,DIATOMITA,ROCAS Y MINERALES INDUSTRIALES,120100083 - 8,"7,963,884","361,739",25,19,PSAD-56,ACTIVA,PLANTA DIATOMEASIMERYS MINERALES ARICA LIMITADAARICA
96.717.570-6,IMERYS MINERALES ARICA LIMITADA,15,ARICA,ARICA,MINA CAROL,Categoría D,15,ARICA,ARICA,SONDAJE MINA CAROL,MINA RAJO ABIERTO,DIATOMITA,DIATOMITA,ROCAS Y MINERALES INDUSTRIALES,120100101 - K,"7,960,500","367,000",253,19,PSAD-56,ELIMINADO,
80.925.100-4,SOMARCO LTDA.,15,ARICA,ARICA,GALPON ACOPIO MINERAL ,Categoría C,15,ARICA,ARICA,GALPON DE ACOPIO,PUERTO DE EMBARQUE,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,120100103 - 6,"7,957,152","360,789",4,19,PSAD-56,ACTIVA,GALPON ACOPIO MINERAL SOMARCO LTDA.ARICA
80.925.100-4,SOMARCO LTDA.,15,ARICA,ARICA,GALPON ACOPIO MINERAL ,Categoría C,15,ARICA,ARICA,OFICINAS,ADMINISTRACIÓN - OFICINA,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,2000114648 - 4,"7,957,116","360,754",7,19,PSAD-56,ACTIVA,GALPON ACOPIO MINERAL SOMARCO LTDA.ARICA
79.639.570-2,QUIBORAX S.A,15,ARICA,ARICA,PLANTA EL AGUILA,Categoría A,15,ARICA,ARICA,CANCHA ACOPIO MINERALES,DEPÓSITO RMM - MINERAL DE BAJA LEY,ULEXITA,ULEXITA,ROCAS Y MINERALES INDUSTRIALES,120100070 - 6,"7,955,984","362,329",1593,19,PSAD-56,ACTIVA,PLANTA EL AGUILAQUIBORAX S.AARICA
79.639.570-2,QUIBORAX S.A,15,ARICA,ARICA,PLANTA EL AGUILA,Categoría A,15,ARICA,ARICA,LABORATORIO QUIMICO,TALLERES Y MAESTRANZA,ULEXITA,ULEXITA,ROCAS Y MINERALES INDUSTRIALES,120100069 - 2,"7,955,984","362,329",1580,19,PSAD-56,ACTIVA,PLANTA EL AGUILAQUIBORAX S.AARICA
79.639.570-2,QUIBORAX S.A,15,ARICA,ARICA,PLANTA EL AGUILA,Categoría A,15,ARICA,ARICA,ADMINISTRACION - OFICINAS,ADMINISTRACIÓN - OFICINA,ULEXITA,ULEXITA,ROCAS Y MINERALES INDUSTRIALES,120100056 - 0,"7,955,984","362,329",1579,19,PSAD-56,ACTIVA,PLANTA EL AGUILAQUIBORAX S.AARICA
79.639.570-2,QUIBORAX S.A,15,ARICA,ARICA,PLANTA EL AGUILA,Categoría A,15,ARICA,ARICA, PLANTA EL AGUILA,PLANTA CONCENTRADORA,ULEXITA,COMPUESTOS DE BORO,ROCAS Y MINERALES INDUSTRIALES,120100003 - K,"7,960,346","407,249",1627,19,PSAD-56,ACTIVA,PLANTA EL AGUILAQUIBORAX S.AARICA
79.639.570-2,QUIBORAX S.A,15,ARICA,ARICA,PLANTA EL AGUILA,Categoría A,15,ARICA,ARICA,ALMACENAMIENTO DE ACIDO,CAMPAMENTO,SULFUROS Y ÓXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,2000032449 - 4,"7,960,571","407,234",1653,19,PSAD-56,ACTIVA,PLANTA EL AGUILAQUIBORAX S.AARICA
79.639.570-2,QUIBORAX S.A,15,ARICA,ARICA,PLANTA EL AGUILA,Categoría A,15,ARICA,ARICA,BODEGA DE PRODUCTOS TERMINADOS,BODEGA,ULEXITA,ULEXITA,ROCAS Y MINERALES INDUSTRIALES,2000071756 - 9,"7,958,245","363,514",27,19,PSAD-56,ACTIVA,PLANTA EL AGUILAQUIBORAX S.AARICA
79.639.570-2,QUIBORAX S.A,15,ARICA,ARICA,PLANTA EL AGUILA,Categoría A,15,ARICA,ARICA,ADMINISTRACION TALLERES-MAESTRANZA,TALLERES Y MAESTRANZA,ULEXITA,ULEXITA,ROCAS Y MINERALES INDUSTRIALES,120100057 - 9,"7,955,984","362,329",1583,19,PSAD-56,ACTIVA,PLANTA EL AGUILAQUIBORAX S.AARICA
78.110.220-2,INVESTIGACIONES MINERAS Y GEOLOGICAS LTDA. (IMG),15,ARICA,ARICA,PROYECTO PASCUA,Categoría D,15,ARICA,ARICA,PROYECTO PASCUA - EXPLORACION,EXPLORACION DE SUPERFICIE,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,120100029 - 3,"7,922,000","363,000",500,19,PSAD-56,ABANDONADA,
61.703.000-4,EMPRESA NACIONAL DE MINERIA (ENAMI),15,ARICA,ARICA,OFICINA ARICA REGION XV ,Categoría D,15,ARICA,ARICA,SERVICIO ASEO OFICINA ARICA,ADMINISTRACIÓN - OFICINA,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,120100055 - 2,"7,955,917","362,378",30,19,PSAD-56,ACTIVA,OFICINA ARICA REGION XV EMPRESA NACIONAL DE MINERIA (ENAMI)ARICA
76.316.296-6,SOC. MINERA STA. EMA LTDA.,15,ARICA,ARICA,PLANTA SANTA EMA,Categoría D,15,ARICA,ARICA,DEPOSITO DE RELAVES ESPESADOS FILTRADOS,DEPÓSITO - ESPESADOS,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,2000054536 - 9,"7,939,016","371,072",650,19,PSAD-56,ACTIVA,PLANTA SANTA EMASOC. MINERA STA. EMA LTDA.ARICA
10.040.816-3,ISMAEL ANGEL MAMNI LOVERA,15,ARICA,ARICA,EXPLORACION BASICA PRODUCCION BENTONITA,Categoría D,15,ARICA,ARICA,EXPLORACION,EXPLORACION DE SUPERFICIE,BENTONITA,ARCILLAS,ROCAS Y MINERALES INDUSTRIALES,2000131656 - 8,"7,946,000","396,000",867,19,PSAD-56,ACTIVA,EXPLORACION BASICA PRODUCCION BENTONITAISMAEL ANGEL MAMNI LOVERAARICA
76.043.296-2,SCM COMPAÑIA MINERA PASCUAS,15,ARICA,CAMARONES,FAENA MINERA TRES VETAS,Categoría D,15,ARICA,ARICA,MINA,MINA SUBTERRANEA,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,2000129628 - 1,"7,923,500","362,500",600,19,PSAD-56,ACTIVA,FAENA MINERA TRES VETASSCM COMPAÑIA MINERA PASCUASCAMARONES
6.837.465-0,EDUARDO ALVAREZ C.,15,ARICA,CAMARONES,ELIANA 1/20 S-3,Categoría D,15,ARICA,CAMARONES,CAMPAMENTO,CAMPAMENTO,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,2000032448 - 6,"7,912,662","371,535",782,19,PSAD-56,ACTIVA,ELIANA 1/20 S-3EDUARDO ALVAREZ C.CAMARONES
6.837.465-0,EDUARDO ALVAREZ C.,15,ARICA,CAMARONES,ELIANA 1/20 S-3,Categoría D,15,ARICA,CAMARONES,POLVORIN,POLVORIN,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,2000036339 - 2,"7,912,827","371,228",863,19,PSAD-56,ACTIVA,ELIANA 1/20 S-3EDUARDO ALVAREZ C.CAMARONES
6.837.465-0,EDUARDO ALVAREZ C.,15,ARICA,CAMARONES,ELIANA 1/20 S-3,Categoría D,15,ARICA,CAMARONES,MINA SECTOR (3),MINA SUBTERRANEA,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,120200009 - 2,"7,912,900","371,250",815,19,PSAD-56,ACTIVA,ELIANA 1/20 S-3EDUARDO ALVAREZ C.CAMARONES
76.085.153-1,PAMPA CAMARONES SpA,15,ARICA,CAMARONES,PLANTA DE CATODOS,Categoría B,15,ARICA,ARICA,PUNTA MADRID,PLANTA CAPTADORA DE AGUA DE MAR,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,2000089655 - 2,"7,955,988","362,324",957,19,PSAD-56,IRREGULAR NO OPERATIVA,
76.085.153-1,PAMPA CAMARONES SpA,15,ARICA,CAMARONES,PLANTA DE CATODOS,Categoría B,15,ARICA,CAMARONES,BOTADERO DE RIPIOS,DEPÓSITO RMM - RIPIOS DE LIXIVIACIÓN,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,2000118658 - 3,"7,907,247","371,454",825,19,PSAD-56,ACTIVA,PLANTA DE CATODOSPAMPA CAMARONES SpACAMARONES
76.085.153-1,PAMPA CAMARONES SpA,15,ARICA,CAMARONES,EXPLOTACION SALAMANQUEJA,Categoría C,15,ARICA,CAMARONES,BOTADERO,DEPÓSITO RMM - ESTÉRILES,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,2000117652 - 9,"7,906,960","369,983",917,19,PSAD-56,INACTIVA,EXPLOTACION SALAMANQUEJAPAMPA CAMARONES SpACAMARONES
76.085.153-1,PAMPA CAMARONES SpA,15,ARICA,CAMARONES,PLANTA DE CATODOS,Categoría B,15,ARICA,CAMARONES,Pilas y piscinas,LIXIVIACION,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,2000031202 - K,"7,907,746","371,494",820,19,PSAD-56,ACTIVA,PLANTA DE CATODOSPAMPA CAMARONES SpACAMARONES
76.085.153-1,PAMPA CAMARONES SpA,15,ARICA,CAMARONES,PLANTA DE CATODOS,Categoría B,15,ARICA,CAMARONES,Planta EW y SX,PLANTA EXTRACCIÓN POR SOLVENTES,COBRE - ORO,COBRE,RECURSOS MINERALES METÁLICOS,2000031210 - 0,"7,908,054","371,455",811,19,PSAD-56,ACTIVA,PLANTA DE CATODOSPAMPA CAMARONES SpACAMARONES
76.085.153-1,PAMPA CAMARONES SpA,15,ARICA,CAMARONES,PLANTA DE CATODOS,Categoría B,15,ARICA,CAMARONES,Laboratorio,PLANTA EXTRACCIÓN POR SOLVENTES,SULFUROS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,2000031214 - 3,"7,911,504","371,493",758,19,PSAD-56,ACTIVA,PLANTA DE CATODOSPAMPA CAMARONES SpACAMARONES
76.085.153-1,PAMPA CAMARONES SpA,15,ARICA,CAMARONES,PLANTA DE CATODOS,Categoría B,15,ARICA,CAMARONES,Administración campamento,CAMPAMENTO,SULFUROS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,2000031213 - 5,"7,908,689","371,489",823,19,PSAD-56,ACTIVA,PLANTA DE CATODOSPAMPA CAMARONES SpACAMARONES
76.085.153-1,PAMPA CAMARONES SpA,15,ARICA,CAMARONES,EXPLOTACION SALAMANQUEJA,Categoría C,15,ARICA,CAMARONES,Polvorines,POLVORIN,COBRE - ORO,COBRE,RECURSOS MINERALES METÁLICOS,2000032233 - 5,"7,907,189","370,591",845,19,PSAD-56,INACTIVA,EXPLOTACION SALAMANQUEJAPAMPA CAMARONES SpACAMARONES
76.085.153-1,PAMPA CAMARONES SpA,15,ARICA,CAMARONES,EXPLOTACION SALAMANQUEJA,Categoría C,15,ARICA,CAMARONES,Campamento,CAMPAMENTO,COBRE - ORO,COBRE,RECURSOS MINERALES METÁLICOS,2000032234 - 3,"7,907,189","370,599",845,19,PSAD-56,INACTIVA,EXPLOTACION SALAMANQUEJAPAMPA CAMARONES SpACAMARONES
76.085.153-1,PAMPA CAMARONES SpA,15,ARICA,CAMARONES,PLANTA DE CATODOS,Categoría B,15,ARICA,CAMARONES,Planta de Chancado,PLANTA CHANCADO,CINC - COBRE,CINC,RECURSOS MINERALES METÁLICOS,2000031211 - 9,"7,908,054","371,178",828,19,PSAD-56,ACTIVA,PLANTA DE CATODOSPAMPA CAMARONES SpACAMARONES
76.085.153-1,PAMPA CAMARONES SpA,15,ARICA,CAMARONES,EXPLORACION SALAMANQUEJA,Categoría D,15,ARICA,ARICA,EXPLORACION SALAMANQUEJA,EXPLORACION DE SUPERFICIE,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,120100080 - 3,"7,907,500","370,500",850,19,PSAD-56,INACTIVA,EXPLORACION SALAMANQUEJAPAMPA CAMARONES SpACAMARONES
76.085.153-1,PAMPA CAMARONES SpA,15,ARICA,CAMARONES,EXPLORACION PAMPA CAMARONES,Categoría D,15,ARICA,CAMARONES,ADMINISTRACION OFICINA TECNICA,EXPLORACION DE SUPERFICIE,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,120200037 - 8,"7,907,500","370,500",850,19,PSAD-56,INACTIVA,EXPLORACION PAMPA CAMARONESPAMPA CAMARONES SpACAMARONES
76.085.153-1,PAMPA CAMARONES SpA,15,ARICA,CAMARONES,EXPLORACION PAMPA CAMARONES,Categoría D,15,ARICA,CAMARONES,EXPLORACION  CHACOTA,EXPLORACION DE SUPERFICIE,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,120200038 - 6,"7,925,000","436,000",3180,19,PSAD-56,INACTIVA,EXPLORACION PAMPA CAMARONESPAMPA CAMARONES SpACAMARONES
76.085.153-1,PAMPA CAMARONES SpA,15,ARICA,CAMARONES,PERFORACIONES CORTAS DE EXPLORACION CON BARRENO,Categoría C,15,ARICA,CAMARONES,EXPLORACION,EXPLORACION DE SUPERFICIE,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,120200072 - 6,"7,910,500","369,500",850,19,PSAD-56,INACTIVA,PERFORACIONES CORTAS DE EXPLORACION CON BARRENOPAMPA CAMARONES SpACAMARONES
76.085.153-1,PAMPA CAMARONES SpA,15,ARICA,CAMARONES,EXPLOTACION SALAMANQUEJA,Categoría C,15,ARICA,CAMARONES,MINA RAJO ABIERTO,MINA RAJO ABIERTO,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,120200073 - 4,"7,907,365","370,198",872,19,PSAD-56,INACTIVA,EXPLOTACION SALAMANQUEJAPAMPA CAMARONES SpACAMARONES
76.085.153-1,PAMPA CAMARONES SpA,15,ARICA,CAMARONES,EXPLOTACION SALAMANQUEJA,Categoría C,15,ARICA,CAMARONES,MINA SUBTERRANEA,MINA SUBTERRANEA,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,120200074 - 2,"7,907,579","370,486",838,19,PSAD-56,INACTIVA,EXPLOTACION SALAMANQUEJAPAMPA CAMARONES SpACAMARONES
76.085.153-1,PAMPA CAMARONES SpA,15,ARICA,CAMARONES,EXPLOTACION SALAMANQUEJA,Categoría C,15,ARICA,CAMARONES,SONDAJE RC SECTOR PCSA,EXPLORACION DE SUPERFICIE,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,120200076 - 9,"7,907,500","370,500",800,19,PSAD-56,INACTIVA,EXPLOTACION SALAMANQUEJAPAMPA CAMARONES SpACAMARONES
76.085.153-1,PAMPA CAMARONES SpA,15,ARICA,CAMARONES,PLANTA DE CATODOS,Categoría B,15,ARICA,CAMARONES,PLANTA DE CATODOS,PLANTA CONCENTRADORA,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,120200075 - 0,"7,908,323","370,800",850,19,PSAD-56,ACTIVA,PLANTA DE CATODOSPAMPA CAMARONES SpACAMARONES
2.368.211-7,GERALDO REMIGIO SIERRALTA LAZO,15,ARICA,CAMARONES,"FENIX 13, SECTOR 4 y 6",Categoría D,15,ARICA,CAMARONES,CAMPAMENTO,CAMPAMENTO,COBRE - MOLIBDENO,COBRE,RECURSOS MINERALES METÁLICOS,2000109696 - 7,"7,912,315","369,836",902,19,PSAD-56,ACTIVA,"FENIX 13, SECTOR 4 y 6GERALDO REMIGIO SIERRALTA LAZOCAMARONES"
2.368.211-7,GERALDO REMIGIO SIERRALTA LAZO,15,ARICA,CAMARONES,"FENIX 13, SECTOR 4 y 6",Categoría D,15,ARICA,CAMARONES,PIQUE DE EXPLORACION,EXPLORACIÓN SUBTERRÁNEA,COBRE - MOLIBDENO,COBRE,RECURSOS MINERALES METÁLICOS,2000109698 - 3,"7,912,233","369,453",929,19,PSAD-56,ACTIVA,"FENIX 13, SECTOR 4 y 6GERALDO REMIGIO SIERRALTA LAZOCAMARONES"
2.368.211-7,GERALDO REMIGIO SIERRALTA LAZO,15,ARICA,CAMARONES,"FENIX 13, SECTOR 4 y 6",Categoría D,15,ARICA,CAMARONES,MINA,MINA SUBTERRANEA,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,2000000047 - 8,"7,912,575","369,630",935,19,PSAD-56,ACTIVA,"FENIX 13, SECTOR 4 y 6GERALDO REMIGIO SIERRALTA LAZOCAMARONES"
2.368.211-7,GERALDO REMIGIO SIERRALTA LAZO,15,ARICA,CAMARONES,"FENIX 13, SECTOR 4 y 6",Categoría D,15,ARICA,CAMARONES,POLVORIN,POLVORIN,COBRE - MOLIBDENO,COBRE,RECURSOS MINERALES METÁLICOS,2000109697 - 5,"7,912,166","369,673",916,19,PSAD-56,ACTIVA,"FENIX 13, SECTOR 4 y 6GERALDO REMIGIO SIERRALTA LAZOCAMARONES"
76.056.157-6,"RUBEN CARMONA SOLAS, SERVICIOS DE TRANSPORTES Y E",15,ARICA,CAMARONES,PROYECTO MINA CAMARON VI 1 AL 10,Categoría D,15,ARICA,CAMARONES,PIQUE NORTE,MINA SUBTERRANEA,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,2000096626 - 7,"7,911,393","370,377",953,19,PSAD-56,ACTIVA,"PROYECTO MINA CAMARON VI 1 AL 10RUBEN CARMONA SOLAS, SERVICIOS DE TRANSPORTES Y ECAMARONES"
76.056.157-6,"RUBEN CARMONA SOLAS, SERVICIOS DE TRANSPORTES Y E",15,ARICA,CAMARONES,PROYECTO MINA CAMARON VI 1 AL 10,Categoría D,15,ARICA,CAMARONES,CAMPAMENTO,CAMPAMENTO,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,2000028041 - 1,"7,911,328","370,433",944,19,PSAD-56,ACTIVA,"PROYECTO MINA CAMARON VI 1 AL 10RUBEN CARMONA SOLAS, SERVICIOS DE TRANSPORTES Y ECAMARONES"
76.056.157-6,"RUBEN CARMONA SOLAS, SERVICIOS DE TRANSPORTES Y E",15,ARICA,CAMARONES,PROYECTO MINA CAMARON VI 1 AL 10,Categoría D,15,ARICA,CAMARONES,POLVORIN,POLVORIN,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,2000028043 - 8,"7,911,248","370,193",948,19,PSAD-56,ACTIVA,"PROYECTO MINA CAMARON VI 1 AL 10RUBEN CARMONA SOLAS, SERVICIOS DE TRANSPORTES Y ECAMARONES"
76.056.157-6,"RUBEN CARMONA SOLAS, SERVICIOS DE TRANSPORTES Y E",15,ARICA,CAMARONES,PROYECTO MINA CAMARON VI 1 AL 10,Categoría D,15,ARICA,CAMARONES,MINA,MINA SUBTERRANEA,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,120200092 - 0,"7,911,754","370,594",870,19,PSAD-56,ACTIVA,"PROYECTO MINA CAMARON VI 1 AL 10RUBEN CARMONA SOLAS, SERVICIOS DE TRANSPORTES Y ECAMARONES"
96.955.560-3,HALDEMAN MINING COMPANY S. A.,15,ARICA,CAMARONES,PAMPA ARGOLLA ,Categoría D,15,ARICA,CAMARONES,PAMPA ARGOLLA,EXPLORACION DE SUPERFICIE,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,120200022 - K,"7,915,000","367,000",800,19,PSAD-56,ACTIVA,PAMPA ARGOLLA HALDEMAN MINING COMPANY S. A.CAMARONES
61.703.000-4,EMPRESA NACIONAL DE MINERIA (ENAMI),15,ARICA,CAMARONES,PODER DE COMPRAS  ARICA - PARINACOTA,Categoría C,15,ARICA,CAMARONES,ADMINISTRACION - OFICINAS,ADMINISTRACIÓN - OFICINA,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,120100067 - 6,"7,913,929","371,610",802,19,PSAD-56,ACTIVA,PODER DE COMPRAS  ARICA - PARINACOTAEMPRESA NACIONAL DE MINERIA (ENAMI)CAMARONES
61.703.000-4,EMPRESA NACIONAL DE MINERIA (ENAMI),15,ARICA,CAMARONES,PODER DE COMPRAS  ARICA - PARINACOTA,Categoría C,15,ARICA,CAMARONES,PLANTA DE CHANCADO,PLANTA CHANCADO,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,120200002 - 5,"7,914,124","371,893",785,19,PSAD-56,ACTIVA,PODER DE COMPRAS  ARICA - PARINACOTAEMPRESA NACIONAL DE MINERIA (ENAMI)CAMARONES
61.703.000-4,EMPRESA NACIONAL DE MINERIA (ENAMI),15,ARICA,CAMARONES,PODER DE COMPRAS  ARICA - PARINACOTA,Categoría C,15,ARICA,CAMARONES,ADMINISTRACION-TALLER-MAESTRANZA,TALLERES Y MAESTRANZA,OXIDOS DE COBRE,COBRE,RECURSOS MINERALES METÁLICOS,120100068 - 4,"7,913,964","371,682",798,19,PSAD-56,ACTIVA,PODER DE COMPRAS  ARICA - PARINACOTAEMPRESA NACIONAL DE MINERIA (ENAMI)CAMARONES
